aggregation,solver,mse,rmse,mae,r2
dayofweek,euler,7087511.753046256,2662.238109757701,2572.3696669514975,-342.1017971992463
dayofweek,rk4,38909.55364121241,197.25504718818328,140.62927766852476,-0.8835859816080829
dayofweek,dopri5,6214.190524463256,78.83013715872411,64.8333727027636,0.6991751109032757
dayofweek,adams,5356.798803681586,73.19015510081657,57.858165482936954,0.7406808819769544
season,euler,31784.46158835098,178.281972135017,146.74902415382152,0.716322874300753
season,rk4,43554.989975141594,208.69832288531117,159.5398646034254,0.6112706099594276
season,dopri5,40605.35650711074,201.50770830692989,135.93703937430297,0.6375961634614558
season,adams,244878.436776681,494.8519341951499,359.7606182031975,-1.1855462581122689
